,Gender_Nonbinary,Churn,Marital_Widowed,Port_modem,Population
810,0,1,1,0,4059
3436,0,0,1,0,14644
4348,0,1,0,0,10434
2184,0,1,1,0,2382
4017,0,0,0,1,33420
9121,0,0,0,1,15033
4538,0,1,1,0,388
8831,0,0,1,1,20167
6541,0,0,0,1,268
6494,0,0,1,1,12418
7450,0,0,0,0,17733
2291,0,0,0,1,1012
6212,0,0,0,0,2029
4737,0,0,0,1,182
4586,0,0,0,1,27938
6546,0,0,0,0,230
8478,0,0,0,0,29
2613,0,1,1,1,5
9787,0,0,1,1,9145
5387,0,0,0,1,109
9749,0,0,0,0,1156
1224,0,0,0,1,32195
4228,0,1,0,0,9238
7467,0,0,0,1,68
2429,0,1,1,0,6213
7571,0,0,1,0,209
3587,0,0,0,1,12414
8810,0,0,1,0,199
7682,0,0,0,0,23878
5475,0,0,0,1,191
7866,0,0,0,0,8230
4150,0,0,1,0,36792
5426,0,1,0,0,13932
509,0,0,0,0,502
2367,0,1,1,1,3929
3367,0,0,0,1,92
18,0,0,1,1,9463
8812,0,0,0,1,2068
5916,0,0,0,0,345
638,0,1,0,0,171
3927,0,0,0,0,624
3014,0,0,0,1,2680
971,0,0,0,1,1875
4318,0,1,0,0,764
2947,0,0,0,0,708
3862,0,1,0,1,3531
9480,0,0,0,0,5639
7102,0,0,0,0,46087
4190,0,1,0,0,705
133,0,1,0,1,3736
6380,0,0,0,0,40441
4180,0,1,0,0,1087
7787,1,0,0,0,78
5069,0,0,1,0,2292
9122,0,0,0,1,8510
9143,0,0,1,0,4837
9221,0,0,0,0,585
74,0,1,0,0,34359
7014,0,0,0,0,10928
8119,0,0,0,1,70199
9990,0,0,0,1,836
4822,0,1,0,1,5705
919,0,1,0,0,447
4565,0,1,0,1,26565
5886,0,0,0,1,587
5036,0,0,0,0,16373
7451,0,0,0,1,13864
2571,0,0,0,1,8093
9062,0,0,0,1,5111
3734,0,0,1,1,1484
1111,0,1,0,0,787
4121,0,1,1,1,18181
5093,0,0,0,0,7676
366,0,1,0,1,104
1692,0,1,0,1,5943
8617,0,0,0,1,23746
4841,0,1,0,0,15741
8585,0,0,0,0,59324
8139,0,0,0,1,111850
4253,0,0,0,1,3080
9238,0,1,0,1,15477
5985,0,0,0,0,15062
2436,0,1,0,1,333
7594,0,0,1,1,5385
5189,0,0,0,0,917
2476,0,1,0,1,33875
3291,0,0,0,1,66053
1451,0,0,0,1,7380
2708,0,1,0,1,337
4059,0,1,0,0,620
3934,0,1,0,0,918
8592,0,0,0,1,203
934,0,1,1,1,213
4068,0,1,0,0,556
7823,0,0,0,1,916
8464,0,0,0,0,4206
511,0,0,0,0,2494
5630,0,0,0,1,371
235,0,0,0,0,109
313,0,0,0,0,1566
6692,0,0,0,1,1262
8987,0,0,0,0,1151
5872,0,0,0,0,24463
5501,0,0,0,0,5638
6082,0,1,0,1,49894
4102,0,1,1,1,23458
4869,0,0,0,0,221
8667,0,0,0,1,3412
6652,0,0,0,0,1307
3919,0,1,0,1,51275
9286,1,0,0,1,249
5422,0,0,1,1,48386
8396,0,0,1,1,2011
2945,0,1,0,0,135
549,0,1,0,1,1469
9180,0,0,0,0,5009
2142,0,1,0,0,23402
5443,0,0,0,0,17654
5761,0,0,0,1,11740
7324,0,0,0,1,353
339,0,1,1,0,683
8966,0,0,0,1,7570
3586,0,1,0,1,29020
8752,0,0,0,1,73778
4652,0,0,0,1,441
716,0,1,0,1,25266
1308,0,0,1,0,22294
3741,0,1,0,1,872
455,0,1,0,1,1301
7194,0,0,1,0,2413
5416,0,0,0,0,2564
1401,0,1,0,0,560
7050,0,0,0,0,1875
1538,0,0,0,1,64
3464,0,0,0,0,1371
6790,0,0,1,1,369
3151,0,0,1,0,2017
4865,0,1,0,0,10546
8439,0,0,0,1,1349
1794,0,0,0,0,1640
4724,0,1,0,1,1319
3376,0,0,0,1,1076
6094,0,0,0,1,3072
2641,0,0,1,1,3231
9130,0,0,0,0,2409
8879,0,0,0,1,1210
6336,0,0,0,1,647
1762,0,1,0,0,24838
7070,0,0,0,1,551
7793,0,0,1,0,6635
9007,0,0,0,0,3029
1656,0,1,0,0,14534
1870,0,1,0,1,20897
6632,0,0,1,1,251
2875,0,0,0,1,487
6197,0,0,0,1,9909
7176,0,0,1,1,25445
4428,0,1,0,0,3612
368,0,0,1,1,5302
7560,0,0,0,0,53879
