,Tenure
810,8.294910436
3436,11.64763
4348,2.582668
2184,10.46977
4017,7.235576
9121,59.26713
4538,14.54834
8831,50.71608
6541,66.77022
6494,71.82981
7450,63.71587
2291,24.42176
6212,71.25102
4737,9.712168
4586,13.45113
6546,61.44671
8478,60.42738
2613,1.768753
9787,60.95606
5387,70.69408
9749,71.58111
1224,18.42609229
4228,19.39623
7467,50.80222
2429,20.5514
7571,60.44201
3587,2.317456
8810,69.31577
7682,42.34953
5475,70.65651
7866,70.33871
4150,10.36378
5426,61.96091
509,9.039309605
2367,9.38329
3367,15.67732
18,17.10995632
8812,60.99965
5916,44.47594
638,4.676474348
3927,4.422442
3014,8.58684
971,8.137267032
4318,14.40375
2947,12.73029
3862,9.643609
9480,66.47483
7102,58.71889
4190,6.184958
133,9.743201772
6380,62.25247
4180,12.3548
7787,66.03197
5069,70.38153
9122,37.52707
9143,64.49513
9221,70.50786
74,2.378630018
7014,69.1405
8119,58.08952
9990,63.63416
4822,1.331372
919,5.451895614
4565,6.564797
5886,69.90673
5036,62.48639
7451,65.11128
2571,1.798433
9062,66.15184
3734,10.07156
1111,11.45319603
4121,17.25428
5093,67.04233
366,7.663625954
1692,9.320973584
8617,57.3396
4841,8.71167
8585,48.73343
8139,44.03142
4253,13.99745
9238,66.46538
5985,47.50976
2436,1.932155
7594,63.52797
5189,64.71872
2476,8.040278
3291,7.603445
1451,9.07813252
2708,9.026366
4059,4.825693
3934,8.160495
8592,71.2039
934,11.58576976
4068,13.14021
7823,67.25763
8464,69.45823
511,8.792119046
5630,60.15898
235,23.62866494
313,8.892893007
6692,56.1122
8987,65.03219
5872,71.83398
5501,65.33592
6082,45.7211
4102,7.032789
4869,15.39062
8667,68.43831
6652,59.29365
3919,7.816759
9286,48.66437
5422,53.17302
8396,68.00942
2945,12.24574
549,2.519975147
9180,71.24132
2142,4.044068
5443,70.78918
5761,57.13921
7324,52.09557
339,13.73012915
8966,57.71425
3586,5.72421
8752,47.4649
4652,10.13859
716,16.75922789
1308,3.551651444
3741,2.657783
455,4.991605214
7194,67.29113
5416,69.2962
1401,12.71183755
7050,68.6663
1538,8.447638937
3464,5.099943
6790,69.14141
3151,10.44121
4865,6.431215
8439,64.76289
1794,8.248755691
4724,5.70629
3376,9.091454
6094,58.62812
2641,10.00949
9130,44.83431
8879,63.58076
6336,63.1308
1762,1.051188042
7070,69.71148
7793,47.56294
9007,52.76138
1656,1.849371568
1870,10.86852566
6632,55.59681
2875,16.71459
6197,65.1302
7176,65.74105
4428,12.44495
368,13.59137366
7560,62.00464
6516,62.98765
7383,67.96008
7180,58.8721
8346,67.49463
4523,7.668017
8361,54.50263
4789,19.48914
2359,9.25848
6191,67.85251
4856,5.124495
4773,3.872474
8738,64.38287
7646,70.27281
9922,71.53609
7483,54.98522
6867,71.3009
4702,11.739
718,9.472450618
7183,48.80395
7088,49.26311
4366,11.07238
2348,17.4028
6720,66.60855
2356,8.327722
5105,50.85526
9481,66.82161
1204,9.028422616
300,4.439685675
5149,63.24097
201,18.56165869
8000,66.29727
5770,70.18932
721,4.800346852
1722,2.699998442
1180,30.03608319
7609,67.62049
7721,60.69643
5469,61.3125
851,26.01552533
6230,53.5771
2392,6.233177
9264,63.97683
7354,45.91201
99,6.998814446
8471,52.9247
1766,17.1001258
1572,3.098560266
2799,2.213342
8123,64.07652
340,5.690013293
410,3.778575882
2463,17.84058
4837,6.913925
2015,14.80885
5786,60.34007
